Academic Year,Level of Study,Broad Academic Programme Category,Average Annual Salary (HK$'000)
2020/21,Taught Postgraduate,Education,403
2020/21,Research Postgraduate,"Medicine, Dentistry and Health",352
2020/21,Research Postgraduate,Sciences,385
2020/21,Research Postgraduate,Engineering and Technology,415
2020/21,Research Postgraduate,Business and Management,479
2020/21,Research Postgraduate,Social Sciences,333
2020/21,Research Postgraduate,Arts and Humanities,384
2020/21,Research Postgraduate,Education,395
2021/22,Sub-degree,Sciences,175
2021/22,Sub-degree,Engineering and Technology,220
2021/22,Sub-degree,Social Sciences,226
2021/22,Sub-degree,Arts and Humanities,226
2021/22,Sub-degree,Education,226
2021/22,Undergraduate,"Medicine, Dentistry and Health",497
2021/22,Undergraduate,Sciences,286
2021/22,Undergraduate,Engineering and Technology,265
2021/22,Undergraduate,Business and Management,288
2021/22,Undergraduate,Social Sciences,264
2021/22,Undergraduate,Arts and Humanities,252
2021/22,Undergraduate,Education,353
2021/22,Taught Postgraduate,"Medicine, Dentistry and Health",569
2021/22,Taught Postgraduate,Sciences,432
2021/22,Taught Postgraduate,Engineering and Technology,378
2021/22,Taught Postgraduate,Social Sciences,456
2021/22,Taught Postgraduate,Arts and Humanities,432
2021/22,Taught Postgraduate,Education,414
2021/22,Research Postgraduate,"Medicine, Dentistry and Health",392
2021/22,Research Postgraduate,Sciences,392
2021/22,Research Postgraduate,Engineering and Technology,369
2021/22,Research Postgraduate,Business and Management,473
2021/22,Research Postgraduate,Social Sciences,376
2021/22,Research Postgraduate,Arts and Humanities,369
2021/22,Research Postgraduate,Education,417
2022/23,Sub-degree,Sciences,183
2022/23,Sub-degree,Engineering and Technology,222
2022/23,Sub-degree,Social Sciences,235
2022/23,Sub-degree,Arts and Humanities,235
2022/23,Sub-degree,Education,235
2022/23,Undergraduate,"Medicine, Dentistry and Health",506
2022/23,Undergraduate,Sciences,290
2022/23,Undergraduate,Engineering and Technology,283
2022/23,Undergraduate,Business and Management,295
2022/23,Undergraduate,Social Sciences,275
2022/23,Undergraduate,Arts and Humanities,269
2022/23,Undergraduate,Education,375
2022/23,Taught Postgraduate,"Medicine, Dentistry and Health",714
2022/23,Taught Postgraduate,Sciences,448
2022/23,Taught Postgraduate,Engineering and Technology,401
2022/23,Taught Postgraduate,Social Sciences,488
2022/23,Taught Postgraduate,Arts and Humanities,448
2022/23,Taught Postgraduate,Education,429
2022/23,Research Postgraduate,"Medicine, Dentistry and Health",411
2022/23,Research Postgraduate,Sciences,427
2022/23,Research Postgraduate,Engineering and Technology,421
2022/23,Research Postgraduate,Business and Management,512
2022/23,Research Postgraduate,Social Sciences,391
2022/23,Research Postgraduate,Arts and Humanities,346
2022/23,Research Postgraduate,Education,410
