longitude,latitude,polygon_group,name_long
23.426560092876684,58.612753404364625,121-1-1,Estonia
23.339795363058645,59.187240302153384,121-1-1,Estonia
24.604214308376186,59.46585378685502,121-1-1,Estonia
25.86418908051664,59.61109039981133,121-1-1,Estonia
26.949135776484525,59.445803331125774,121-1-1,Estonia
27.981114129353244,59.475388088612874,121-1-1,Estonia
27.981126857000987,59.47537333432527,121-1-1,Estonia
14.119686313542559,53.75702912049104,122-1-1,Germany
14.353315463934138,53.24817129171297,122-1-1,Germany
14.074521111719434,52.98126251892535,122-1-1,Germany
14.437599725002201,52.62485016540839,122-1-1,Germany
14.685026482815687,52.0899474147552,122-1-1,Germany
14.607098422919535,51.74518809671997,122-1-1,Germany
15.01699588385867,51.10667409932158,122-1-1,Germany
14.570718214586066,51.002339382524276,122-1-1,Germany
14.307013380600637,51.117267767941414,122-1-1,Germany
14.056227654688172,50.9269176295943,122-1-1,Germany
13.338131951560285,50.73323436136435,122-1-1,Germany
12.966836785543194,50.484076443069085,122-1-1,Germany
12.240111118222558,50.266337795607285,122-1-1,Germany
12.415190870827445,49.96912079528057,122-1-1,Germany
12.521024204161193,49.547415269562734,122-1-1,Germany
13.031328973043431,49.30706818297324,122-1-1,Germany
13.595945672264437,48.87717194273715,122-1-1,Germany
13.243357374737,48.416114813829054,122-1-1,Germany
12.884102817443875,48.28914581968786,122-1-1,Germany
13.02585127122049,47.63758352313583,122-1-1,Germany
12.932626987365948,47.467645575544,122-1-1,Germany
12.620759718484493,47.67238760028441,122-1-1,Germany
12.141357456112788,47.703083401065776,122-1-1,Germany
11.426414015354737,47.523766181012974,122-1-1,Germany
10.544504021861599,47.5663992376538,122-1-1,Germany
10.402083774465211,47.30248769793916,122-1-1,Germany
9.89606814946319,47.580196845075704,122-1-1,Germany
9.59422610844635,47.52505809182027,122-1-1,Germany
8.522611932009767,47.83082754169129,122-1-1,Germany
8.317301466514095,47.61357982033627,122-1-1,Germany
7.466759067422231,47.62058197691181,122-1-1,Germany
7.593676385131062,48.33301911070372,122-1-1,Germany
8.099278598674744,49.01778351500333,122-1-1,Germany
6.658229607783568,49.20195831969157,122-1-1,Germany
6.186320428094177,49.463802802114515,122-1-1,Germany
6.242751092156993,49.90222565367873,122-1-1,Germany
6.043073357781111,50.128051662794235,122-1-1,Germany
6.15665815595878,50.80372101501058,122-1-1,Germany
5.988658074577813,51.851615709025054,122-1-1,Germany
6.589396599970826,51.852029120483394,122-1-1,Germany
6.842869500362383,52.22844025329755,122-1-1,Germany
7.092053256873896,53.144043280644894,122-1-1,Germany
6.905139601274129,53.48216217713065,122-1-1,Germany
7.100424838905269,53.69393219666267,122-1-1,Germany
7.936239454793963,53.74829580343379,122-1-1,Germany
8.121706170289485,53.52779246684429,122-1-1,Germany
8.800734490604668,54.020785630908904,122-1-1,Germany
8.57211795414537,54.39564647075406,122-1-1,Germany
8.526229282270208,54.96274363872516,122-1-1,Germany
9.282048780971138,54.830865383516176,122-1-1,Germany
9.921906365609118,54.98310415304803,122-1-1,Germany
9.9395797054529,54.596641954153256,122-1-1,Germany
10.950112338920519,54.363607082733154,122-1-1,Germany
10.93946699386845,54.00869334575259,122-1-1,Germany
11.956252475643282,54.19648550070116,122-1-1,Germany
12.518440382546714,54.470370591847995,122-1-1,Germany
13.647467075259499,54.0755109727059,122-1-1,Germany
14.119686313542559,53.75702912049104,122-1-1,Germany
22.65714969248299,44.23492300066128,123-1-1,Bulgaria
22.944832391051847,43.82378530534713,123-1-1,Bulgaria
23.332302280376325,43.897010809904714,123-1-1,Bulgaria
24.100679152124172,43.74105133724785,123-1-1,Bulgaria
25.569271681426926,43.68844472917472,123-1-1,Bulgaria
26.065158725699746,43.94349376075127,123-1-1,Bulgaria
27.242399529740908,44.175986029632405,123-1-1,Bulgaria
27.970107049275075,43.81246816667522,123-1-1,Bulgaria
28.558081495891997,43.70746165625813,123-1-1,Bulgaria
28.03909508638472,43.293171698574184,123-1-1,Bulgaria
27.67389773937805,42.57789236100622,123-1-1,Bulgaria
27.99672041190539,42.00735871028779,123-1-1,Bulgaria
27.13573937349048,42.14148489030134,123-1-1,Bulgaria
26.1170418637208,41.82690460872456,123-1-1,Bulgaria
26.106138136507127,41.32889883072784,123-1-1,Bulgaria
25.197201368925448,41.23448598893053,123-1-1,Bulgaria
24.492644891057978,41.58389618587205,123-1-1,Bulgaria
23.692073601992348,41.309080918943856,123-1-1,Bulgaria
22.952377150166452,41.33799388281115,123-1-1,Bulgaria
22.881373732197346,41.999297186850356,123-1-1,Bulgaria
22.380525750424592,42.32025950781509,123-1-1,Bulgaria
22.54501183440962,42.46136200618804,123-1-1,Bulgaria
22.43659467946128,42.580321153323936,123-1-1,Bulgaria
22.60480146657133,42.898518785161144,123-1-1,Bulgaria
22.986018507588483,43.2111612005271,123-1-1,Bulgaria
22.500156691180223,43.642814439461006,123-1-1,Bulgaria
22.410446404721597,44.008063462899955,123-1-1,Bulgaria
22.65714969248299,44.23492300066128,123-1-1,Bulgaria
26.290002882601698,35.29999034274793,124-1-1,Greece
26.16499759288766,35.00499542900977,124-1-1,Greece
24.724982130642303,34.91998769788964,124-1-1,Greece
24.735007358506916,35.08499054619759,124-1-1,Greece
23.51497846852808,35.27999156345098,124-1-1,Greece
23.699980096133004,35.70500438083549,124-1-1,Greece
24.246665073348705,35.368022365860185,124-1-1,Greece
25.02501549652891,35.42499563246197,124-1-1,Greece
25.769207797964185,35.35401805270908,124-1-1,Greece
25.745023227651586,35.1799976669662,124-1-1,Greece
26.290002882601698,35.29999034274793,124-1-1,Greece
22.952377150166452,41.33799388281115,124-2-1,Greece
23.692073601992348,41.309080918943856,124-2-1,Greece
24.492644891057978,41.58389618587205,124-2-1,Greece
25.197201368925448,41.23448598893053,124-2-1,Greece
26.106138136507127,41.32889883072784,124-2-1,Greece
26.1170418637208,41.82690460872456,124-2-1,Greece
26.60419559093623,41.562114569661105,124-2-1,Greece
26.294602085075667,40.93626129817413,124-2-1,Greece
26.05694217296534,40.82412344010076,124-2-1,Greece
25.44767703624416,40.85254547786144,124-2-1,Greece
24.92584842296094,40.947061672523205,124-2-1,Greece
23.71481123220076,40.687129218095095,124-2-1,Greece
24.40799889496401,40.12499298762407,124-2-1,Greece
23.899967889102584,39.962005520175524,124-2-1,Greece
23.342999301860743,39.96099782974579,124-2-1,Greece
22.813987664488934,40.476005153966526,124-2-1,Greece
22.626298862404724,40.25656118423916,124-2-1,Greece
22.84974775563478,39.659310818025745,124-2-1,Greece
23.35002729665257,39.190011298167235,124-2-1,Greece
22.973099399515547,38.97090322524963,124-2-1,Greece
23.530016310324925,38.51000112563844,124-2-1,Greece
24.025024855248887,38.21999298761642,124-2-1,Greece
24.040011020613576,37.655014553369426,124-2-1,Greece
23.115002882589124,37.920011298162194,124-2-1,Greece
23.409971958111043,37.40999074965737,124-2-1,Greece
22.77497195810861,37.30501007745653,124-2-1,Greece
23.15422529469862,36.422505804992056,124-2-1,Greece
22.490028110451078,36.4100001083774,124-2-1,Greece
21.67002648284364,36.8449864771942,124-2-1,Greece
21.29501061370155,37.64498932550464,124-2-1,Greece
21.120034213961333,38.31032339126273,124-2-1,Greece
20.730032179454554,38.769985256498785,124-2-1,Greece
20.217712029712857,39.34023468683961,124-2-1,Greece
20.15001590341052,39.62499766698397,124-2-1,Greece
20.615000441172754,40.11000682225938,124-2-1,Greece
20.674996779063633,40.43499990494303,124-2-1,Greece
20.999989861747224,40.58000397395398,124-2-1,Greece
21.0200403174764,40.84272695572588,124-2-1,Greece
21.674160597426976,40.931274522457954,124-2-1,Greece
22.05537763844427,41.14986583105269,124-2-1,Greece
22.597308383889015,41.130487168943205,124-2-1,Greece
22.761770000000013,41.30480000000006,124-2-1,Greece
22.952377150166452,41.33799388281115,124-2-1,Greece
44.77267710159504,37.17043692561684,125-1-1,Turkey
44.29345177590287,37.0015143906063,125-1-1,Turkey
43.9422587420473,37.25622752537295,125-1-1,Turkey
42.77912560402183,37.385263576805755,125-1-1,Turkey
42.34959109881177,37.2298725449041,125-1-1,Turkey
41.21208947120305,37.074352321921694,125-1-1,Turkey
40.67325931169569,37.09127635349729,125-1-1,Turkey
39.52258019385255,36.71605377862599,125-1-1,Turkey
38.6998913917659,36.71292735447234,125-1-1,Turkey
38.1677274920242,36.90121043552777,125-1-1,Turkey
37.06676110204583,36.62303620050062,125-1-1,Turkey
36.7394942563414,36.81752045343109,125-1-1,Turkey
36.6853890317318,36.259699205056464,125-1-1,Turkey
36.417550083163036,36.04061697035506,125-1-1,Turkey
36.149762811026534,35.82153473565367,125-1-1,Turkey
35.782084995269855,36.27499542901485,125-1-1,Turkey
36.160821567537,36.65060557712833,125-1-1,Turkey
35.55093631362831,36.565442816711325,125-1-1,Turkey
34.714553256984345,36.7955321314909,125-1-1,Turkey
34.026894972476384,36.219960028624016,125-1-1,Turkey
32.509158156064075,36.107563788389186,125-1-1,Turkey
31.699595167779567,36.64427521417258,125-1-1,Turkey
30.621624790171097,36.6778648951623,125-1-1,Turkey
30.391096225717064,36.26298065850699,125-1-1,Turkey
29.69997562024554,36.144357408180994,125-1-1,Turkey
28.732902866335422,36.67683136651647,125-1-1,Turkey
27.641186557737317,36.65882212986274,125-1-1,Turkey
27.048767937943264,37.653360907536,125-1-1,Turkey
26.318218214633045,38.208133246405396,125-1-1,Turkey
26.804700148228733,38.985760199533516,125-1-1,Turkey
26.17078535330433,39.463612168936464,125-1-1,Turkey
27.28001997244939,40.42001373957831,125-1-1,Turkey
28.81997765474722,40.46001129817221,125-1-1,Turkey
29.240003696415584,41.21999074967267,125-1-1,Turkey
31.14593387220444,41.08762156835702,125-1-1,Turkey
32.34797936374571,41.736264146484615,125-1-1,Turkey
33.51328291192746,42.01896006933731,125-1-1,Turkey
35.167703891751785,42.040224921225416,125-1-1,Turkey
36.9131270688421,41.33535838476427,125-1-1,Turkey
38.34766482926452,40.94858612727573,125-1-1,Turkey
39.512606642420195,41.10276276301855,125-1-1,Turkey
40.373432651538224,41.01367259374735,125-1-1,Turkey
41.55408410011066,41.53565623632757,125-1-1,Turkey
42.61954878110449,41.58317271581994,125-1-1,Turkey
43.58274580259273,41.09214325618257,125-1-1,Turkey
43.75265791196841,40.74020091405876,125-1-1,Turkey
43.65643639504094,40.253563951166186,125-1-1,Turkey
44.4000085792887,40.00500031184228,125-1-1,Turkey
44.79398969908195,39.71300263117705,125-1-1,Turkey
44.10922529478234,39.4281362981681,125-1-1,Turkey
44.421402622257546,38.28128123631454,125-1-1,Turkey
44.22575564960053,37.97158437758935,125-1-1,Turkey
44.77267,37.17045,125-1-1,Turkey
44.77267710159504,37.17043692561684,125-1-1,Turkey
26.1170418637208,41.82690460872456,125-2-1,Turkey
27.13573937349048,42.14148489030134,125-2-1,Turkey
27.99672041190539,42.00735871028779,125-2-1,Turkey
28.115524529744416,41.62288605403624,125-2-1,Turkey
